id,Gender,Age,purpose_of_travel,Type of Travel,Type Of Booking,Hotel wifi service,Departure/Arrival  convenience,Ease of Online booking,Hotel location,Food and drink,Stay comfort,Common Room entertainment,Checkin/Checkout service,Other service,Cleanliness,satisfaction
102166,Female,60,business,Group Travel,Group bookings,1,1,1,1,3,4,4,3,4,4,satisfied
56276,Female,33,tourism,Group Travel,Group bookings,2,2,5,2,5,5,4,5,4,5,satisfied
18725,Female,37,aviation,Personal Travel,Not defined,0,4,0,4,3,3,3,4,4,3,satisfied
29607,Female,13,tourism,Group Travel,Group bookings,2,3,3,3,2,2,2,1,4,2,neutral or dissatisfied
18113,Female,72,personal,Group Travel,Group bookings,2,2,2,2,3,4,5,5,5,1,satisfied
114361,Male,27,academic,Group Travel,Group bookings,4,4,3,4,5,5,5,4,5,5,satisfied
14258,Male,55,business,Group Travel,Group bookings,2,2,2,2,4,4,4,4,4,3,satisfied
4033,Female,42,academic,Group Travel,Group bookings,3,3,4,3,1,4,2,1,2,1,satisfied
64898,Male,22,business,Group Travel,Group bookings,1,1,1,1,5,5,5,3,4,5,satisfied
3867,Male,37,business,Personal Travel,Group bookings,2,3,2,2,3,2,1,2,1,5,neutral or dissatisfied
11457,Female,50,academic,Group Travel,Not defined,1,2,2,2,3,4,1,4,1,2,neutral or dissatisfied
18255,Female,47,academic,Personal Travel,Individual/Couple,3,5,3,1,5,5,3,5,3,5,neutral or dissatisfied
17306,Male,22,tourism,Group Travel,Individual/Couple,4,2,4,3,3,3,3,1,4,3,neutral or dissatisfied
46888,Female,20,personal,Group Travel,Group bookings,4,4,4,4,5,5,5,5,2,5,satisfied
15771,Female,40,academic,Group Travel,Individual/Couple,3,5,5,5,3,3,3,1,3,3,neutral or dissatisfied
7028,Male,14,tourism,Personal Travel,Individual/Couple,3,5,3,4,4,4,4,3,5,4,neutral or dissatisfied
118752,Female,19,academic,Personal Travel,Individual/Couple,3,2,3,4,3,3,3,4,3,3,neutral or dissatisfied
11478,Female,36,business,Group Travel,Not defined,4,3,1,3,4,4,4,5,4,4,satisfied
128814,Male,11,aviation,Group Travel,Individual/Couple,1,2,2,2,1,1,4,1,3,1,neutral or dissatisfied
30017,Female,58,tourism,Group Travel,Individual/Couple,3,2,3,4,5,5,5,4,4,5,neutral or dissatisfied
125655,Female,58,tourism,Group Travel,Group bookings,4,4,5,4,3,5,5,4,5,3,satisfied
110537,Male,70,tourism,Group Travel,Group bookings,1,3,1,1,5,5,4,4,4,4,satisfied
4491,Male,44,tourism,Group Travel,Group bookings,4,4,4,4,4,4,4,3,4,4,neutral or dissatisfied
51884,Male,58,tourism,Group Travel,Group bookings,3,3,3,3,5,2,4,5,4,4,satisfied
82068,Male,48,personal,Group Travel,Group bookings,3,3,3,1,2,1,2,3,5,2,neutral or dissatisfied
15426,Female,45,aviation,Group Travel,Group bookings,3,3,3,3,3,3,2,3,2,3,neutral or dissatisfied
22826,Female,62,aviation,Group Travel,Individual/Couple,4,5,5,5,3,3,4,4,4,3,neutral or dissatisfied
49100,Male,58,aviation,Group Travel,Group bookings,5,5,5,5,2,2,5,4,5,3,satisfied
29415,Female,31,personal,Personal Travel,Individual/Couple,3,4,3,3,3,1,4,1,5,1,neutral or dissatisfied
55129,Male,67,business,Personal Travel,Individual/Couple,2,4,2,1,4,4,4,5,5,4,neutral or dissatisfied
61710,Male,53,tourism,Group Travel,Group bookings,2,2,2,2,5,3,2,1,2,3,neutral or dissatisfied
25988,Female,24,aviation,Group Travel,Individual/Couple,4,5,5,5,4,4,4,3,3,4,satisfied
94575,Male,46,business,Group Travel,Group bookings,3,3,3,3,3,4,4,4,4,3,satisfied
22439,Female,46,personal,Personal Travel,Individual/Couple,2,2,2,4,1,3,1,1,1,4,neutral or dissatisfied
43360,Male,24,tourism,Personal Travel,Individual/Couple,2,5,2,4,2,2,2,5,4,2,neutral or dissatisfied
97380,Female,25,tourism,Personal Travel,Individual/Couple,1,4,1,2,2,2,2,5,5,2,neutral or dissatisfied
121039,Male,45,academic,Personal Travel,Individual/Couple,2,4,2,4,2,2,2,4,4,2,neutral or dissatisfied
36629,Female,22,tourism,Group Travel,Individual/Couple,2,2,2,3,4,4,4,3,4,4,neutral or dissatisfied
115629,Male,57,tourism,Group Travel,Individual/Couple,2,2,2,2,2,2,2,4,3,2,neutral or dissatisfied
72243,Male,22,aviation,Group Travel,Individual/Couple,3,3,3,3,3,3,3,3,4,3,neutral or dissatisfied
5282,Female,66,business,Personal Travel,Individual/Couple,2,5,2,3,4,5,5,3,5,3,neutral or dissatisfied
40661,Male,24,academic,Group Travel,Individual/Couple,3,0,3,3,1,1,1,5,5,1,neutral or dissatisfied
110066,Male,14,business,Group Travel,Group bookings,5,0,5,5,5,1,5,3,4,5,satisfied
44370,Male,21,academic,Personal Travel,Individual/Couple,3,3,3,3,1,1,1,4,3,1,neutral or dissatisfied
96571,Male,55,personal,Group Travel,Group bookings,2,2,2,2,5,5,5,4,5,3,satisfied
71458,Female,15,tourism,Personal Travel,Individual/Couple,1,3,1,1,3,3,3,2,2,3,neutral or dissatisfied
64736,Male,45,aviation,Group Travel,Group bookings,3,3,3,3,5,5,4,5,4,3,satisfied
122635,Female,50,academic,Group Travel,Not defined,4,5,3,5,1,2,4,1,4,3,neutral or dissatisfied
116587,Male,49,tourism,Group Travel,Group bookings,2,2,2,2,2,4,4,4,4,4,satisfied
19291,Male,36,tourism,Group Travel,Group bookings,2,4,4,4,2,4,2,3,2,1,neutral or dissatisfied
1595,Female,25,tourism,Personal Travel,Individual/Couple,2,5,2,1,4,4,4,5,5,4,neutral or dissatisfied
47538,Male,59,tourism,Personal Travel,Individual/Couple,4,5,2,1,2,2,2,5,4,2,neutral or dissatisfied
54487,Male,34,tourism,Group Travel,Group bookings,1,1,1,1,5,2,5,5,5,2,satisfied
9115,Female,42,academic,Group Travel,Group bookings,4,5,5,5,3,2,4,3,4,3,neutral or dissatisfied
59355,Female,49,academic,Group Travel,Group bookings,2,2,2,2,4,4,2,5,2,5,satisfied
39906,Male,18,academic,Group Travel,Individual/Couple,2,2,3,4,3,3,3,1,4,3,neutral or dissatisfied
19121,Female,45,academic,Group Travel,Individual/Couple,4,2,2,2,1,2,3,2,3,5,satisfied
24271,Female,40,personal,Personal Travel,Individual/Couple,3,5,3,2,5,5,5,4,4,5,neutral or dissatisfied
79353,Male,35,tourism,Personal Travel,Individual/Couple,3,3,2,3,5,5,5,4,3,5,neutral or dissatisfied
94333,Female,34,tourism,Group Travel,Group bookings,1,1,1,1,2,5,4,5,4,3,satisfied
80464,Male,35,tourism,Group Travel,Group bookings,3,3,3,3,2,5,4,3,4,4,satisfied
27902,Male,29,business,Personal Travel,Individual/Couple,1,3,1,4,1,3,3,3,4,3,neutral or dissatisfied
51670,Female,30,tourism,Group Travel,Group bookings,3,1,1,1,3,3,3,1,4,3,neutral or dissatisfied
68569,Male,29,tourism,Group Travel,Group bookings,2,2,2,2,5,5,5,5,4,5,satisfied
1022,Male,23,aviation,Group Travel,Individual/Couple,2,4,2,3,2,2,2,4,4,2,neutral or dissatisfied
83741,Male,60,business,Group Travel,Group bookings,5,5,5,5,4,4,3,4,3,5,satisfied
67921,Male,50,academic,Personal Travel,Individual/Couple,2,4,2,5,4,4,4,5,4,4,neutral or dissatisfied
14853,Female,20,academic,Group Travel,Individual/Couple,1,5,1,1,1,3,3,3,5,3,neutral or dissatisfied
34105,Male,24,business,Group Travel,Group bookings,4,3,4,4,2,2,2,1,1,2,satisfied
7294,Female,40,academic,Personal Travel,Individual/Couple,1,4,1,3,4,4,4,4,4,4,neutral or dissatisfied
59226,Male,40,aviation,Group Travel,Group bookings,2,2,2,2,3,5,5,3,5,5,satisfied
115108,Female,55,personal,Group Travel,Group bookings,2,2,2,2,5,5,5,3,5,5,satisfied
78184,Male,70,tourism,Group Travel,Group bookings,0,0,0,2,3,4,5,3,5,5,satisfied
36440,Female,59,academic,Personal Travel,Individual/Couple,3,4,3,3,3,4,4,4,4,4,neutral or dissatisfied
12369,Male,24,business,Group Travel,Individual/Couple,5,4,5,3,2,2,2,5,5,2,satisfied
98943,Female,57,tourism,Group Travel,Group bookings,4,3,3,3,2,2,4,3,4,1,neutral or dissatisfied
31716,Female,39,business,Personal Travel,Individual/Couple,5,4,5,3,3,5,3,2,4,3,satisfied
46687,Female,68,academic,Personal Travel,Individual/Couple,2,4,0,2,2,5,1,2,1,2,neutral or dissatisfied
81709,Female,51,tourism,Group Travel,Group bookings,1,1,1,1,5,5,5,5,5,5,satisfied
97563,Female,21,tourism,Group Travel,Individual/Couple,3,0,3,4,1,1,1,5,4,1,neutral or dissatisfied
126369,Female,56,academic,Personal Travel,Individual/Couple,3,5,3,1,5,4,4,5,4,3,neutral or dissatisfied
98277,Male,53,aviation,Group Travel,Group bookings,2,1,1,1,3,4,2,3,2,2,neutral or dissatisfied
71054,Female,36,tourism,Group Travel,Group bookings,1,1,1,1,2,5,4,2,4,4,satisfied
15109,Female,33,academic,Group Travel,Group bookings,1,1,1,1,2,5,3,4,3,4,satisfied
89996,Male,52,tourism,Group Travel,Group bookings,5,5,5,5,5,4,2,3,2,5,satisfied
31909,Male,32,academic,Group Travel,Group bookings,2,2,2,1,4,4,4,4,4,4,neutral or dissatisfied
49139,Female,57,business,Group Travel,Group bookings,5,5,5,5,4,2,5,5,5,3,satisfied
69867,Male,19,tourism,Group Travel,Group bookings,5,5,2,5,4,4,4,3,5,4,satisfied
77756,Male,70,tourism,Group Travel,Group bookings,4,4,4,4,4,5,5,1,5,5,satisfied
100654,Male,41,tourism,Group Travel,Group bookings,2,2,4,2,4,5,4,4,4,5,satisfied
33561,Male,47,academic,Group Travel,Individual/Couple,3,4,3,1,4,3,4,3,2,4,neutral or dissatisfied
12526,Male,43,tourism,Group Travel,Group bookings,4,4,4,4,2,3,4,2,4,5,satisfied
80608,Female,28,academic,Group Travel,Group bookings,3,3,3,3,4,4,4,3,4,4,satisfied
66169,Male,52,aviation,Group Travel,Group bookings,5,5,5,5,5,5,5,4,5,3,satisfied
38554,Female,40,personal,Personal Travel,Individual/Couple,4,5,4,1,5,2,5,3,5,5,neutral or dissatisfied
41399,Male,32,business,Group Travel,Group bookings,1,1,1,1,4,4,4,1,1,4,satisfied
110473,Female,49,aviation,Personal Travel,Individual/Couple,2,5,2,3,2,5,4,5,4,3,neutral or dissatisfied
114034,Male,63,tourism,Personal Travel,Group bookings,0,5,0,4,3,5,5,4,5,5,satisfied
23568,Male,26,tourism,Group Travel,Group bookings,2,2,2,2,5,5,5,2,5,5,satisfied
78321,Female,46,academic,Group Travel,Group bookings,1,1,1,1,4,5,4,5,4,3,satisfied
106546,Male,27,tourism,Group Travel,Group bookings,3,3,3,4,4,3,4,3,4,4,neutral or dissatisfied
36379,Female,51,academic,Group Travel,Individual/Couple,3,3,3,3,4,5,3,2,3,1,satisfied
94032,Male,52,aviation,Group Travel,Group bookings,3,3,2,3,3,4,4,3,4,5,satisfied
18425,Male,17,tourism,Personal Travel,Individual/Couple,3,4,3,3,5,5,5,4,4,5,neutral or dissatisfied
4739,Male,77,business,Group Travel,Group bookings,3,3,3,3,5,2,4,1,4,5,satisfied
103423,Female,58,aviation,Personal Travel,Individual/Couple,3,4,3,3,2,4,5,4,5,3,neutral or dissatisfied
124362,Female,55,aviation,Group Travel,Group bookings,2,2,2,2,2,4,4,3,4,4,satisfied
88082,Female,44,academic,Group Travel,Group bookings,5,5,5,5,4,4,3,3,3,4,satisfied
35361,Female,42,aviation,Group Travel,Individual/Couple,5,4,4,4,3,2,5,1,5,1,satisfied
19526,Female,58,academic,Group Travel,Group bookings,4,2,2,2,3,4,4,1,4,2,neutral or dissatisfied
33453,Male,21,academic,Personal Travel,Individual/Couple,1,2,1,3,1,4,4,4,4,4,neutral or dissatisfied
71786,Female,35,tourism,Group Travel,Group bookings,2,2,2,4,4,4,4,4,4,4,neutral or dissatisfied
100259,Male,24,personal,Group Travel,Individual/Couple,2,2,2,3,3,3,3,5,5,3,neutral or dissatisfied
1010,Female,53,business,Group Travel,Group bookings,1,1,1,1,5,1,5,5,5,5,satisfied
69919,Male,52,tourism,Personal Travel,Individual/Couple,1,4,1,4,2,4,2,3,4,2,neutral or dissatisfied
127623,Female,36,academic,Group Travel,Group bookings,1,1,1,3,3,3,3,5,4,3,neutral or dissatisfied
68991,Female,46,tourism,Group Travel,Group bookings,5,5,5,5,4,4,4,4,5,4,satisfied
27895,Male,51,business,Group Travel,Not defined,3,4,4,4,3,3,3,2,1,3,satisfied
112661,Male,53,aviation,Group Travel,Group bookings,1,1,3,1,2,4,4,3,4,3,satisfied
87984,Female,40,academic,Group Travel,Group bookings,4,4,4,4,2,5,3,3,3,5,satisfied
7832,Male,63,business,Personal Travel,Individual/Couple,4,4,3,4,2,2,2,1,4,2,satisfied
79374,Male,45,academic,Group Travel,Group bookings,5,5,5,4,2,2,2,4,5,2,satisfied
93908,Male,44,business,Group Travel,Group bookings,5,3,5,5,4,4,5,3,5,4,satisfied
34535,Female,28,aviation,Group Travel,Individual/Couple,3,5,5,5,3,3,3,4,3,3,neutral or dissatisfied
57704,Female,35,academic,Personal Travel,Individual/Couple,3,4,3,1,4,3,4,3,4,4,neutral or dissatisfied
125441,Male,27,personal,Group Travel,Group bookings,4,4,4,3,1,1,1,2,3,1,neutral or dissatisfied
29035,Female,7,business,Personal Travel,Individual/Couple,4,2,4,4,1,1,1,1,4,1,satisfied
35455,Male,9,aviation,Personal Travel,Individual/Couple,2,4,2,3,5,5,5,5,4,5,neutral or dissatisfied
17531,Female,59,tourism,Personal Travel,Not defined,3,5,3,1,4,5,3,5,3,5,neutral or dissatisfied
41187,Male,28,personal,Personal Travel,Individual/Couple,3,4,3,3,5,5,5,3,5,5,neutral or dissatisfied
60473,Female,57,business,Group Travel,Group bookings,5,5,5,5,5,4,5,4,5,3,satisfied
78250,Male,21,aviation,Personal Travel,Group bookings,4,5,4,2,3,1,3,5,5,3,neutral or dissatisfied
9705,Male,12,business,Personal Travel,Individual/Couple,2,1,2,3,5,5,5,2,3,5,neutral or dissatisfied
115439,Female,55,personal,Group Travel,Group bookings,3,3,3,3,5,4,4,3,4,3,satisfied
63403,Female,54,tourism,Personal Travel,Individual/Couple,0,4,0,5,3,4,5,4,5,4,satisfied
88541,Female,46,tourism,Personal Travel,Individual/Couple,3,5,3,5,5,4,2,5,2,3,neutral or dissatisfied
103925,Male,29,academic,Group Travel,Group bookings,5,4,4,3,2,1,2,3,4,2,satisfied
40563,Male,46,academic,Group Travel,Individual/Couple,4,4,5,5,4,4,4,2,4,4,satisfied
40619,Male,41,business,Personal Travel,Individual/Couple,3,2,3,3,3,2,3,3,3,3,neutral or dissatisfied
74340,Female,39,business,Personal Travel,Group bookings,1,4,1,3,3,5,2,4,2,5,neutral or dissatisfied
37726,Male,28,academic,Personal Travel,Individual/Couple,1,5,1,1,3,3,3,4,4,3,neutral or dissatisfied
14657,Male,52,business,Personal Travel,Individual/Couple,2,5,0,1,2,2,2,3,4,2,neutral or dissatisfied
32369,Male,59,tourism,Group Travel,Group bookings,5,5,5,5,2,4,5,4,5,3,satisfied
86509,Male,27,personal,Personal Travel,Individual/Couple,3,4,2,1,1,1,1,4,4,1,neutral or dissatisfied
92562,Female,43,academic,Group Travel,Group bookings,5,5,5,5,5,5,4,3,4,5,satisfied
59040,Female,29,tourism,Group Travel,Individual/Couple,1,1,1,4,3,3,3,1,4,3,neutral or dissatisfied
98434,Female,56,personal,Personal Travel,Individual/Couple,3,5,3,3,3,4,3,4,4,4,neutral or dissatisfied
77335,Female,49,tourism,Group Travel,Group bookings,2,2,2,2,2,5,3,4,3,3,satisfied
63442,Male,11,tourism,Personal Travel,Individual/Couple,4,5,2,5,2,2,2,5,4,2,neutral or dissatisfied
56122,Female,56,tourism,Group Travel,Group bookings,3,3,3,3,4,4,5,3,5,4,satisfied
113805,Female,41,tourism,Group Travel,Group bookings,2,2,2,2,5,5,2,5,2,5,satisfied
51975,Male,68,academic,Group Travel,Individual/Couple,4,2,5,2,4,4,4,5,4,4,satisfied
6573,Female,41,business,Group Travel,Group bookings,4,4,4,4,4,5,5,4,5,3,satisfied
103023,Male,54,aviation,Group Travel,Group bookings,5,5,2,5,5,5,4,3,4,5,satisfied
74285,Female,11,academic,Group Travel,Group bookings,4,4,4,4,3,3,3,3,5,3,satisfied
110668,Female,36,aviation,Group Travel,Individual/Couple,3,2,2,2,3,3,3,2,3,3,neutral or dissatisfied
114952,Female,21,personal,Group Travel,Group bookings,0,0,0,3,3,3,3,3,5,3,satisfied
78635,Female,47,aviation,Group Travel,Group bookings,1,1,1,1,4,5,5,4,5,4,satisfied
116271,Male,28,tourism,Personal Travel,Individual/Couple,4,4,4,4,3,3,3,2,3,3,neutral or dissatisfied
104107,Male,53,business,Personal Travel,Individual/Couple,2,2,2,2,5,5,5,2,3,5,neutral or dissatisfied
122701,Male,53,business,Personal Travel,Individual/Couple,2,4,2,3,2,2,2,5,4,2,neutral or dissatisfied
21309,Female,12,tourism,Personal Travel,Individual/Couple,3,1,3,4,4,4,4,2,3,4,neutral or dissatisfied
97732,Male,57,aviation,Group Travel,Group bookings,3,4,4,4,4,4,3,4,3,4,neutral or dissatisfied
112421,Female,46,tourism,Group Travel,Individual/Couple,3,1,1,1,3,4,3,4,3,1,neutral or dissatisfied
79631,Male,17,business,Group Travel,Individual/Couple,2,5,5,5,2,3,2,4,3,2,neutral or dissatisfied
41588,Female,28,aviation,Personal Travel,Individual/Couple,2,5,2,4,2,2,2,3,5,2,neutral or dissatisfied
82141,Male,30,personal,Group Travel,Group bookings,3,3,3,3,5,5,5,3,5,5,satisfied
40507,Female,17,academic,Personal Travel,Individual/Couple,1,4,1,4,1,1,1,2,5,1,neutral or dissatisfied
9785,Male,9,tourism,Personal Travel,Individual/Couple,3,5,3,4,1,1,1,3,1,1,neutral or dissatisfied
36840,Female,44,business,Group Travel,Individual/Couple,2,3,2,1,3,3,3,1,2,3,neutral or dissatisfied
62058,Female,18,academic,Personal Travel,Individual/Couple,2,1,2,4,5,5,5,4,4,5,neutral or dissatisfied
96668,Male,63,academic,Personal Travel,Individual/Couple,1,1,1,1,5,5,5,1,2,5,neutral or dissatisfied
30462,Female,49,business,Group Travel,Not defined,4,3,3,3,2,4,4,3,4,4,satisfied
10921,Male,52,tourism,Group Travel,Group bookings,2,2,2,2,3,5,3,5,3,4,satisfied
49880,Male,53,tourism,Group Travel,Individual/Couple,4,4,4,4,4,4,4,2,4,4,neutral or dissatisfied
64378,Male,51,academic,Personal Travel,Individual/Couple,1,2,1,3,4,4,4,2,3,4,neutral or dissatisfied
109563,Female,56,tourism,Personal Travel,Individual/Couple,1,2,1,3,3,4,3,1,3,2,neutral or dissatisfied
12868,Male,69,academic,Personal Travel,Not defined,2,4,1,3,1,1,1,4,4,1,neutral or dissatisfied
115208,Male,50,academic,Group Travel,Group bookings,5,5,5,5,2,5,5,4,5,3,satisfied
126843,Male,49,business,Group Travel,Individual/Couple,1,4,4,4,1,1,1,4,2,1,neutral or dissatisfied
115764,Female,36,aviation,Group Travel,Individual/Couple,1,3,1,3,5,5,5,4,3,5,neutral or dissatisfied
78493,Male,59,academic,Group Travel,Group bookings,3,3,3,3,2,2,3,2,3,1,neutral or dissatisfied
45715,Female,45,business,Group Travel,Individual/Couple,4,5,1,1,1,2,4,2,4,2,neutral or dissatisfied
10656,Female,37,academic,Group Travel,Group bookings,5,5,5,5,4,5,5,5,5,4,satisfied
88504,Female,61,aviation,Group Travel,Group bookings,1,1,1,1,4,5,5,5,5,3,satisfied
77460,Female,56,academic,Group Travel,Individual/Couple,3,4,3,3,4,3,3,4,3,1,neutral or dissatisfied
43836,Female,44,business,Group Travel,Group bookings,5,5,5,5,4,4,4,5,4,1,satisfied
52303,Male,50,aviation,Group Travel,Individual/Couple,1,2,2,2,1,1,1,3,1,1,neutral or dissatisfied
62786,Male,20,aviation,Personal Travel,Individual/Couple,5,5,5,4,2,2,2,3,5,2,satisfied
90142,Male,52,personal,Group Travel,Group bookings,1,1,1,1,1,1,5,4,5,4,satisfied
30785,Female,35,tourism,Group Travel,Group bookings,3,3,3,3,1,3,4,5,4,3,satisfied
30527,Female,60,tourism,Group Travel,Individual/Couple,5,4,4,4,1,4,5,5,5,4,satisfied
14222,Male,27,academic,Personal Travel,Individual/Couple,4,5,4,5,5,1,5,5,5,5,neutral or dissatisfied
93033,Female,41,tourism,Group Travel,Group bookings,3,3,1,3,5,4,4,5,4,4,satisfied
79669,Female,36,academic,Personal Travel,Individual/Couple,4,5,4,3,5,5,5,3,3,5,neutral or dissatisfied
43692,Female,33,academic,Group Travel,Individual/Couple,5,2,3,2,5,5,5,2,1,5,satisfied
123862,Male,49,business,Group Travel,Group bookings,3,1,3,3,5,5,5,3,5,5,satisfied
68012,Female,47,academic,Group Travel,Group bookings,2,2,2,2,4,5,5,4,5,4,satisfied
79982,Female,38,tourism,Personal Travel,Individual/Couple,4,0,4,3,2,2,2,3,4,2,neutral or dissatisfied
82953,Male,25,aviation,Group Travel,Group bookings,5,0,5,1,2,2,2,5,4,2,satisfied
109894,Female,54,aviation,Group Travel,Individual/Couple,3,1,1,1,2,4,3,4,3,4,satisfied
102848,Male,27,tourism,Group Travel,Individual/Couple,5,3,3,3,5,5,5,3,2,5,satisfied
7981,Female,46,business,Group Travel,Group bookings,1,1,1,1,5,4,5,3,5,3,satisfied
114057,Male,31,tourism,Group Travel,Group bookings,3,4,4,1,3,2,3,5,5,3,neutral or dissatisfied
82276,Male,72,academic,Group Travel,Group bookings,2,4,1,4,3,4,2,3,2,1,neutral or dissatisfied
94687,Female,51,tourism,Group Travel,Group bookings,1,1,1,1,2,5,4,5,4,3,satisfied
77171,Female,47,tourism,Group Travel,Group bookings,1,1,1,1,4,5,4,4,4,4,satisfied
65940,Male,56,aviation,Group Travel,Not defined,2,2,3,2,2,2,2,1,4,2,neutral or dissatisfied
126132,Male,53,personal,Group Travel,Group bookings,5,5,5,5,4,4,4,3,4,3,satisfied
124041,Female,38,business,Group Travel,Group bookings,4,4,4,2,4,3,4,4,5,4,satisfied
129429,Female,46,business,Group Travel,Individual/Couple,1,4,1,3,2,2,2,4,4,2,neutral or dissatisfied
63357,Female,21,academic,Personal Travel,Individual/Couple,3,4,3,4,1,1,1,2,5,1,neutral or dissatisfied
122694,Female,56,tourism,Personal Travel,Individual/Couple,2,5,2,3,4,4,1,5,1,3,neutral or dissatisfied
79124,Male,52,tourism,Personal Travel,Individual/Couple,2,5,2,4,1,1,1,4,5,1,neutral or dissatisfied
16936,Female,59,academic,Group Travel,Group bookings,3,3,3,3,3,3,3,4,3,1,neutral or dissatisfied
77491,Female,25,aviation,Group Travel,Group bookings,4,4,3,4,3,3,3,4,5,3,satisfied
14094,Female,33,tourism,Group Travel,Group bookings,4,4,4,4,3,5,5,1,5,3,satisfied
31043,Female,44,tourism,Group Travel,Individual/Couple,3,2,2,1,1,4,1,3,4,1,neutral or dissatisfied
7619,Male,77,tourism,Group Travel,Not defined,2,2,2,2,3,3,3,1,2,3,neutral or dissatisfied
78548,Female,12,tourism,Personal Travel,Individual/Couple,2,4,2,1,1,1,1,3,5,1,neutral or dissatisfied
5153,Female,24,personal,Personal Travel,Individual/Couple,2,4,2,4,3,3,3,4,5,3,neutral or dissatisfied
41577,Male,12,academic,Personal Travel,Individual/Couple,3,1,3,2,3,3,3,2,3,3,neutral or dissatisfied
118006,Female,21,tourism,Group Travel,Individual/Couple,4,4,4,4,1,1,1,4,4,1,neutral or dissatisfied
3669,Female,30,tourism,Group Travel,Group bookings,3,3,3,3,3,3,3,3,3,3,neutral or dissatisfied
1930,Male,26,tourism,Group Travel,Group bookings,2,4,2,4,4,4,4,5,4,4,neutral or dissatisfied
75520,Male,60,academic,Group Travel,Group bookings,3,3,3,3,4,5,5,4,5,3,satisfied
34938,Female,38,tourism,Personal Travel,Individual/Couple,2,4,2,5,5,5,5,3,4,5,neutral or dissatisfied
56125,Male,38,academic,Group Travel,Group bookings,1,1,1,1,4,4,5,4,5,3,satisfied
5872,Female,47,academic,Group Travel,Group bookings,5,3,5,5,3,5,4,3,4,5,satisfied
80727,Male,42,tourism,Group Travel,Group bookings,4,4,4,4,5,5,5,4,5,3,satisfied
30749,Male,47,academic,Group Travel,Individual/Couple,3,3,3,3,3,3,3,1,4,3,neutral or dissatisfied
7990,Female,23,academic,Group Travel,Individual/Couple,2,3,2,4,5,5,5,2,3,5,neutral or dissatisfied
85489,Female,26,aviation,Personal Travel,Individual/Couple,1,5,1,5,3,5,3,4,4,3,neutral or dissatisfied
102762,Male,50,business,Group Travel,Group bookings,4,1,4,4,5,5,4,5,4,5,satisfied
24715,Male,23,business,Group Travel,Individual/Couple,2,2,2,3,4,4,4,4,4,4,neutral or dissatisfied
19992,Female,12,business,Group Travel,Group bookings,1,1,2,1,3,3,3,3,3,3,satisfied
63307,Male,37,academic,Group Travel,Individual/Couple,3,5,5,5,3,3,3,4,4,3,neutral or dissatisfied
46439,Male,30,aviation,Group Travel,Individual/Couple,5,2,2,2,5,5,5,3,3,5,satisfied
68660,Male,74,academic,Group Travel,Group bookings,4,5,5,5,4,3,4,2,4,1,neutral or dissatisfied
7078,Male,34,academic,Group Travel,Individual/Couple,4,4,4,4,4,4,4,3,2,4,neutral or dissatisfied
113804,Male,23,tourism,Group Travel,Group bookings,4,4,4,4,5,5,5,4,4,5,satisfied
105112,Female,58,academic,Group Travel,Group bookings,1,1,5,1,3,5,5,3,5,4,satisfied
60345,Female,62,personal,Personal Travel,Individual/Couple,4,5,4,4,5,5,5,5,5,3,satisfied
92760,Female,60,tourism,Group Travel,Group bookings,1,4,1,1,4,5,5,4,5,4,satisfied
15743,Male,31,personal,Group Travel,Group bookings,3,3,3,3,5,5,5,1,3,5,satisfied
31859,Female,36,business,Group Travel,Group bookings,2,2,2,2,2,3,4,3,4,4,satisfied
46814,Male,37,tourism,Group Travel,Group bookings,2,2,2,2,2,5,5,1,5,3,satisfied
128435,Male,40,tourism,Group Travel,Individual/Couple,3,2,2,2,3,3,3,1,4,3,neutral or dissatisfied
56619,Male,33,academic,Group Travel,Individual/Couple,4,1,1,1,4,4,4,1,3,4,neutral or dissatisfied
37233,Male,85,tourism,Group Travel,Group bookings,1,1,5,1,5,4,3,4,4,4,satisfied
127073,Female,23,business,Group Travel,Individual/Couple,2,3,3,3,2,3,2,3,4,2,neutral or dissatisfied
50473,Male,26,tourism,Group Travel,Individual/Couple,4,0,4,4,3,3,3,5,2,3,neutral or dissatisfied
24483,Female,30,academic,Group Travel,Group bookings,1,4,5,4,1,1,1,2,4,1,neutral or dissatisfied
54755,Female,26,business,Group Travel,Not defined,3,5,5,5,3,3,3,5,2,3,satisfied
93026,Female,25,business,Personal Travel,Individual/Couple,3,2,3,3,5,5,5,2,3,5,neutral or dissatisfied
124809,Male,58,tourism,Group Travel,Group bookings,2,2,2,2,5,4,4,3,4,3,satisfied
115803,Female,30,academic,Group Travel,Group bookings,2,4,3,4,2,2,2,3,3,2,neutral or dissatisfied
37891,Female,36,tourism,Group Travel,Group bookings,2,2,2,2,3,4,2,1,2,2,neutral or dissatisfied
106018,Female,48,business,Personal Travel,Group bookings,1,1,1,4,5,4,3,2,3,4,neutral or dissatisfied
8602,Male,55,aviation,Group Travel,Group bookings,0,5,0,1,4,5,2,5,2,3,satisfied
103841,Female,22,aviation,Group Travel,Group bookings,2,3,3,3,2,2,2,3,3,2,neutral or dissatisfied
9186,Male,23,business,Group Travel,Group bookings,3,2,3,4,2,2,2,3,3,2,neutral or dissatisfied
69073,Male,65,tourism,Group Travel,Group bookings,1,1,1,1,3,2,4,3,4,4,satisfied
